2015,38000,1800,180,Czarny
2005,286000,2000,140,Niebieski
2011,129000,2000,140,Brązowy
2004,256420,1900,130,Srebrny
1997,275000,1800,125,Zielony
2001,236000,1900,130,Srebrny
2006,212000,2000,201,Brązowy
2007,297000,1996,140,Szary
2002,328000,1900,96,Niebieski
1999,341000,1900,115,Czarny
2002,216000,2800,193,Niebieski
2008,171480,1900,105,Inny kolor
2004,191000,2000,131,Czarny
2012,75000,1400,122,Złoty
2003,197400,1984,130,Srebrny
2001,273078,1896,101,Inny kolor
2007,274000,1896,105,Złoty
2010,206000,2000,140,Czarny
2013,140000,2000,140,Czarny
2001,284000,1900,130,Szary
2008,280000,2000,140,Niebieski
2011,109538,1390,150,Inny kolor
2006,304000,1998,140,Czarny
2003,349000,1896,130,Niebieski
2013,161497,2000,140,Inny kolor
2007,370000,1968,140,Niebieski
2006,240000,1996,140,Srebrny
2005,290000,2000,140,Szary
2011,222800,1968,140,Czarny
2007,298000,1968,170,Brązowy
2008,262061,1968,140,Niebieski
2007,199999,1968,170,Niebieski
1997,433000,1900,110,Czarny
2005,238000,1998,140,Inny kolor
2015,121000,1998,150,Czarny
2006,217000,1968,140,Srebrny
2003,196000,1781,150,Szary
2014,159000,2000,177,Srebrny
2014,170909,1968,140,Czarny
2007,420000,1968,140,Czarny
1997,216000,1600,101,Niebieski
2008,177000,1900,105,Czarny
2008,265000,1968,140,Srebrny
2006,19300,2000,140,Srebrny
2003,244200,1896,130,Srebrny
2008,218000,1900,105,Srebrny
2010,228000,2000,170,Brązowy
2015,17000,2000,150,Biały
2001,275000,1896,130,Srebrny
2006,179000,159500,102,Srebrny
1997,320000,1600,101,Bordowy
2006,265432,1896,105,Niebieski
2017,190,1400,150,Niebieski
2017,32000,2000,150,Czarny
2012,136418,2000,140,Czarny
2016,93000,1598,120,Srebrny
2000,212000,1896,115,Srebrny
1996,280000,1599,75,Czarny
2008,245000,1900,102,Brązowy
2018,5,1400,150,Srebrny
2018,5,1400,150,Czarny
2013,176000,1600,105,Inny kolor
2006,175000,1968,140,Inny kolor
2001,260000,1900,130,Zielony
1998,209000,1600,101,Niebieski
2014,162500,2000,140,Czarny
2002,330000,1900,130,Srebrny
2001,230000,1900,101,Niebieski
2012,130000,1800,160,Beżowy
2010,229000,1800,115,Czarny
2014,99800,1968,140,Biały
2007,150000,2000,140,Zielony
2014,128000,2000,177,Brązowy
2012,144000,2000,140,Czarny
2008,172513,1896,105,Niebieski
2004,386000,1968,136,Niebieski
2014,92000,2000,150,Niebieski
2008,257257,1998,140,Brązowy
2001,274000,1900,101,Czarny
2018,7,1796,180,Niebieski
2018,7,1796,180,Szary
1999,370000,1799,125,Niebieski
2018,7,1796,180,Szary
2018,7,1796,180,Czarny
2018,7,1395,150,Czarny
2007,188000,2000,140,Brązowy
2005,214736,1400,90,Żółty
2009,158234,2000,110,Czarny
2003,201213,1896,101,Niebieski
2009,39300,2000,140,Brązowy
2002,312000,1896,130,Srebrny
2012,220000,2000,140,Srebrny
2003,329300,1898,100,Niebieski
2003,170000,2000,131,Niebieski
2003,243000,2000,136,Szary
2011,198000,2000,140,Srebrny
2002,306335,1896,131,Srebrny
2017,1,1800,180,Srebrny
2013,144000,2000,177,Czarny
2011,113000,1800,160,Brązowy
2007,106000,1984,200,Niebieski
2015,91394,1968,150,Srebrny
2012,260000,1968,140,Brązowy
2000,150000,1600,102,Srebrny
2007,208900,1968,170,Niebieski
2017,1,1598,120,Czarny
1995,420000,1989,115,Zielony
2014,203000,1600,105,Brązowy
2006,185000,3168,250,Szary
2014,91000,1968,140,Szary
2016,41000,1400,125,Szary
2000,255000,1600,102,Srebrny
2018,5,1796,180,Srebrny
2014,130000,2000,177,Czarny
2016,10137,1968,150,Czarny
2015,77181,1968,150,Inny kolor
2000,340000,1900,90,Srebrny
2018,5,1800,180,Czarny
2004,300000,1896,130,Inny kolor
2003,170000,1800,180,Niebieski
2002,246000,1900,101,Srebrny
2014,185518,1968,140,Beżowy
2014,91478,1600,105,Inny kolor
2001,290000,1800,150,Srebrny
2005,335000,1896,105,Czarny
1999,206000,1800,125,Srebrny
2014,101480,1598,105,Czarny
2004,289000,1600,102,Srebrny
2017,5,1968,190,Czarny
2006,388000,1968,140,Szary
2001,188000,1598,102,Inny kolor
2017,1,1968,150,Czarny
2013,268783,2000,140,Srebrny
2006,3333,2000,140,Niebieski
2004,290000,1900,131,Zielony
2007,190000,2000,170,Niebieski
2006,155000,1986,140,Srebrny
2015,77000,1800,180,Czarny
2017,5,1968,190,Niebieski
2017,6000,1798,180,Srebrny
1994,450000,2000,115,Zielony
2004,270000,1800,150,Srebrny
2009,160000,2000,160,Srebrny
2005,199000,2000,150,Czarny
2008,238000,2000,140,Brązowy
2006,230000,2000,140,Srebrny
2018,2,1400,125,Biały
2002,230000,1900,101,Czarny
2007,224602,2000,140,Czarny
2014,152449,2000,177,Szary
2009,254000,1968,140,Czarny
2002,264000,1900,130,Niebieski
2013,142000,2000,140,Srebrny
2007,269000,1896,105,Biały
2006,190500,1998,140,Złoty
2015,189000,2000,150,Biały
1995,206500,1896,90,Inny kolor
2014,51700,1968,140,Inny kolor
2017,10,1968,150,Szary
2009,172000,2000,110,Srebrny
2014,73500,1968,140,Inny kolor
